phash,orb,ncc,tp,fp,fn
6,10,0.85,5,0,30
6,10,0.9,5,0,30
6,10,0.92,5,0,30
6,10,0.95,5,0,30
6,25,0.85,5,0,30
6,25,0.9,5,0,30
6,25,0.92,5,0,30
6,25,0.95,5,0,30
6,50,0.85,5,0,30
6,50,0.9,5,0,30
6,50,0.92,5,0,30
6,50,0.95,5,0,30
8,10,0.85,5,0,30
8,10,0.9,5,0,30
8,10,0.92,5,0,30
8,10,0.95,5,0,30
8,25,0.85,5,0,30
8,25,0.9,5,0,30
8,25,0.92,5,0,30
8,25,0.95,5,0,30
8,50,0.85,5,0,30
8,50,0.9,5,0,30
8,50,0.92,5,0,30
8,50,0.95,5,0,30
10,10,0.85,8,0,27
10,10,0.9,8,0,27
10,10,0.92,8,0,27
10,10,0.95,8,0,27
10,25,0.85,8,0,27
10,25,0.9,8,0,27
10,25,0.92,8,0,27
10,25,0.95,8,0,27
10,50,0.85,8,0,27
10,50,0.9,8,0,27
10,50,0.92,8,0,27
10,50,0.95,8,0,27
12,10,0.85,8,0,27
12,10,0.9,8,0,27
12,10,0.92,8,0,27
12,10,0.95,8,0,27
12,25,0.85,8,0,27
12,25,0.9,8,0,27
12,25,0.92,8,0,27
12,25,0.95,8,0,27
12,50,0.85,8,0,27
12,50,0.9,8,0,27
12,50,0.92,8,0,27
12,50,0.95,8,0,27
